"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24443","Performance Glitch User should be able to log in and select an e2e journey product to purchase.","performance-glitch-user","Fri Jan 09 21:28:25 BDT 2026","passed","Fri Jan 09 21:28:49 BDT 2026","Performance Glitch User Functionality","performanceGlitchUser.spec.js","",""
"","3464","Locked User should be able to see login error massage when using locked_out_user","locked-out-user","Fri Jan 09 21:28:25 BDT 2026","passed","Fri Jan 09 21:28:28 BDT 2026","Login Functionality","login.spec.js","",""
"","6303","Standard User should be able to log in and select an e2e journey product to purchase.","standard-user","Fri Jan 09 21:28:25 BDT 2026","passed","Fri Jan 09 21:28:31 BDT 2026","Standard User Functionality","standardUser.spec.js","",""
